Gene,Glucose,LB,Glycerol + AA,Acetate,Fumarate,Glucosamine,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose,Glycerol,Pyruvate,Chemostat µ=0.5,Chemostat µ=0.35,Chemostat µ=0.20,Chemostat µ=0.12,Stationary phase 1 day,Stationary phase 3 days,Osmotic-stress glucose,42°C glucose,pH6 glucose,Xylose,Mannose,Galactose ,Succinate,Fructose
yqjI,85,140,97,51,55,67,64,53,69,49,39,33,28,30,115,121,60,101,64,40,55,75,4.83,9.23,16.01,18.47,32.90,10.51,5.31,14.28,6.65,12.34,6.48,17.48,2.40,13.54,28.64,11.68
ygiB,127,210,215,107,176,136,155,121,201,152,126,161,53,30,278,142,279,194,111,114,93,96,13.79,13.10,10.69,17.40,6.69,12.95,35.44,19.06,19.97,10.40,13.38,16.58,20.75,14.10,37.34,35.07
yjjV,21,21,31,13,11,14,14,8,7,6,8,8,24,23,46,21,34,19,13,15,7,7,10.25,67.65,28.33,36.76,21.88,63.33,5.14,4.49,51.48,13.83,32.82,33.59,10.73,22.75,71.05,13.84
recR,76,257,186,45,42,69,58,51,60,29,24,13,23,30,73,49,66,43,53,38,64,65,11.53,10.06,21.27,6.87,20.63,15.25,49.02,12.12,29.40,17.81,54.41,19.13,11.44,12.32,10.16,52.04
rimL,74,65,31,114,121,95,97,92,107,122,114,131,32,32,80,71,78,55,116,95,104,62,10.44,10.92,11.26,15.02,11.33,2.23,16.59,4.52,11.96,22.65,17.71,23.97,28.17,37.43,33.06,18.93
ubiF,31,46,35,24,28,39,26,19,43,32,34,38,8,15,14,36,40,28,28,29,29,30,3.87,23.09,5.77,18.25,12.76,2.93,39.75,20.40,59.18,29.76,23.56,15.98,4.39,12.67,3.60,15.86
ftsX,34,59,47,26,32,63,30,35,61,51,52,53,32,17,11,79,39,54,58,47,40,69,42.59,34.69,32.37,17.38,21.76,21.80,65.56,50.92,106.99,42.98,18.31,2.10,40.47,7.31,29.43,18.07
rffA,79,151,109,40,59,66,58,67,44,37,26,28,28,15,35,85,45,55,46,46,53,63,7.87,13.90,13.36,19.77,9.94,5.55,76.85,46.80,80.13,60.54,2.73,28.51,5.27,31.73,13.22,13.95
ybiX,14,5,10,8,10,8,10,13,6,4,4,4,26,25,80,13,27,58,14,8,23,24,46.23,33.35,61.97,58.41,40.45,26.99,4.23,8.93,37.62,44.78,14.34,15.05,21.57,32.71,44.84,21.51
era,45,104,54,21,39,38,36,37,35,29,21,19,18,17,38,88,73,83,60,45,69,76,12.97,12.02,3.55,11.88,5.21,5.40,22.56,3.62,40.86,4.10,11.73,4.10,11.18,11.05,8.37,15.24
pldA,21,37,33,15,14,18,18,14,16,15,14,12,17,17,18,19,22,24,21,18,15,22,5.94,12.45,20.99,10.38,9.68,10.96,35.70,4.19,23.11,26.44,9.75,13.11,26.90,18.16,23.04,37.18
cobT,83,69,91,62,64,64,79,77,62,60,35,31,6,15,41,47,48,59,43,21,33,39,9.60,74.81,10.56,6.06,7.81,8.68,84.10,66.93,13.48,39.06,11.36,44.55,1.72,36.14,31.37,7.56
nadR,16,15,11,9,14,19,18,16,23,20,21,22,8,11,11,15,14,16,16,21,14,18,15.24,30.36,23.83,10.34,23.04,11.05,5.00,26.66,59.25,5.32,22.57,8.22,16.78,24.41,21.41,22.52
secE,152,291,241,82,157,186,191,132,222,154,143,103,40,37,78,160,95,151,143,74,130,195,12.24,24.62,9.14,3.59,1.49,17.29,8.58,32.43,40.72,12.79,19.28,12.92,10.57,17.61,5.21,20.40
dnaE,3,28,4,4,5,7,4,5,6,6,6,6,5,4,6,7,4,6,6,8,5,7,28.93,19.72,11.87,8.07,23.54,5.32,42.80,7.40,47.84,27.46,61.44,27.18,15.53,9.97,6.78,44.91
waaA,31,54,48,19,27,35,37,32,58,34,28,23,11,10,10,45,11,14,15,13,26,28,49.26,52.04,32.17,17.21,22.00,10.08,74.67,50.75,40.38,78.13,26.05,26.42,34.18,47.99,19.70,45.35
yffS,46,98,61,39,51,62,50,51,40,39,35,35,38,16,41,67,33,46,46,44,39,50,5.69,5.72,2.64,7.33,10.07,4.33,8.53,64.83,10.03,19.26,5.48,21.91,8.13,9.73,7.64,3.33
ubiX,63,64,43,27,52,41,50,52,41,52,55,45,33,23,12,78,24,31,40,22,32,67,39.16,29.89,7.96,17.75,21.63,18.49,35.61,24.65,104.64,46.75,57.73,24.66,22.51,58.31,27.91,26.29
mlaF,69,89,64,37,41,34,53,57,41,38,29,29,20,16,29,76,27,37,21,41,44,36,9.73,4.92,22.15,25.55,6.32,9.46,7.51,15.28,33.13,17.53,29.61,12.42,28.50,68.44,24.68,7.00
ybbP,11,19,6,14,16,14,18,27,15,20,19,16,4,5,6,6,4,6,9,8,3,9,23.74,35.19,7.68,21.43,29.73,18.33,57.94,2.85,37.88,45.21,12.23,6.23,37.89,16.01,49.09,29.69
plsC,43,140,87,25,26,58,40,46,85,70,51,38,37,16,35,46,42,65,37,30,29,67,6.10,28.04,14.44,3.89,34.54,12.32,37.33,27.05,7.90,39.34,24.78,10.52,9.99,12.33,8.81,3.38
dnaX,10,19,7,7,9,7,11,12,12,9,9,7,5,6,10,22,15,20,15,13,14,20,5.83,19.27,7.97,17.97,11.64,9.03,57.14,27.16,57.15,35.03,34.03,8.77,3.08,15.28,5.44,5.67
nuoH,133,526,330,151,127,186,152,169,280,217,167,85,24,12,4,22,52,29,61,30,22,92,24.17,37.98,11.62,37.12,34.28,22.90,66.29,36.04,116.59,25.08,27.66,35.83,26.67,47.96,51.07,42.25
yqgF,70,136,92,40,63,70,62,56,70,63,29,29,120,27,102,108,69,74,57,51,56,72,23.21,15.62,35.26,49.54,55.38,7.27,60.22,90.18,18.65,51.88,34.48,2.92,1.40,7.05,20.03,10.59
ade,5,54,32,7,13,6,8,8,18,22,20,11,8,6,5,1,2,2,7,4,6,3,18.03,16.93,18.36,10.89,17.72,28.83,88.66,86.97,67.51,73.13,53.91,44.61,20.17,16.27,34.17,21.32
rlmH,56,129,95,23,38,35,33,30,24,19,15,9,13,23,57,18,44,32,28,16,28,32,11.47,3.01,15.00,14.45,26.28,15.66,48.86,10.69,3.74,20.98,17.90,25.57,28.86,5.87,11.12,1.47
ynjE,17,14,43,40,45,41,25,29,32,36,29,30,11,8,4,5,15,14,46,41,41,23,4.86,6.73,25.88,23.28,18.84,17.92,19.41,45.42,67.40,50.25,24.23,7.97,20.37,33.84,19.61,25.98
dnaG,6,14,8,4,9,9,10,10,16,15,15,16,5,5,6,10,9,10,19,14,16,10,7.41,20.99,12.19,25.30,11.72,14.29,54.67,16.06,19.35,77.71,3.53,48.84,37.15,74.55,26.87,13.32
pdxY,85,289,277,53,42,93,36,38,44,23,8,6,13,11,232,84,242,116,24,11,60,66,3.47,9.50,8.46,12.85,21.25,30.06,25.54,45.57,16.42,13.41,8.95,21.77,9.72,21.40,29.50,9.57
dcm,20,30,19,13,15,17,17,17,17,16,14,10,4,7,16,14,11,18,16,10,14,12,11.56,6.88,6.69,6.97,5.80,16.76,18.43,16.01,7.00,19.57,40.48,19.12,8.98,36.70,4.91,21.22
hexR,25,94,94,33,56,73,78,77,75,88,61,52,32,10,7,13,10,49,82,51,65,70,7.18,11.64,12.89,4.86,19.02,4.65,73.22,96.29,122.62,47.42,18.25,20.42,5.29,12.79,4.36,12.16
ratB,127,136,87,84,84,73,89,73,84,60,65,57,40,30,110,135,86,116,77,74,112,152,20.13,15.62,11.41,11.37,26.63,3.99,23.44,15.21,26.17,6.54,22.79,7.05,20.28,10.70,10.16,4.27
hypE,16,18,13,8,23,9,12,10,9,7,11,16,11,8,19,27,24,22,21,22,16,14,33.33,34.80,41.81,58.51,48.49,4.59,32.18,16.17,15.95,109.65,11.54,22.60,24.37,12.89,16.97,23.49
ampC,19,37,37,8,13,13,11,11,10,7,6,4,0,7,15,14,11,10,7,6,9,5,21.16,19.78,10.53,18.74,18.01,10.63,33.63,61.33,12.17,73.51,17.95,16.07,8.17,32.27,24.71,65.12
oppB,46,344,702,15,40,57,30,54,86,54,40,21,5,9,34,30,51,62,37,11,53,78,9.89,43.56,24.67,7.55,18.55,10.47,101.99,44.49,47.41,25.75,25.27,48.28,4.99,64.63,17.20,14.21
hycI,11,10,15,13,10,14,17,17,12,11,11,11,39,17,13,17,30,21,13,20,15,15,19.42,34.84,18.26,28.72,26.60,26.86,108.10,67.91,68.18,49.46,56.29,0.90,19.14,27.88,34.10,34.91
murB,55,88,36,18,38,43,38,42,29,23,21,14,10,6,39,10,42,30,22,20,24,35,9.28,22.29,18.39,17.46,9.35,5.55,54.67,18.53,11.79,100.01,23.45,12.09,27.39,30.08,39.41,44.39
sad,17,16,7,5,13,21,26,11,15,8,13,4,2,5,17,23,61,34,25,23,39,27,28.94,64.68,38.01,83.63,60.09,42.92,15.05,72.23,91.63,57.47,13.54,39.55,56.31,21.63,8.01,15.28
fliG,6,5,47,1,17,13,11,2,17,28,8,2,5,6,2,9,2,4,12,3,10,4,8.08,17.17,22.24,16.72,20.30,39.58,81.14,25.67,88.31,65.07,54.81,55.35,33.80,40.72,92.03,29.11
mltA,24,38,24,13,15,14,16,18,14,10,8,6,10,5,43,37,19,50,38,27,33,27,16.32,24.91,8.51,14.04,6.98,47.22,94.93,51.35,69.77,75.04,57.92,36.37,35.65,19.92,55.39,12.82
yicI,1,8,3,0,0,1,1,0,1,1,1,1,1,2,1,2,1,55,8,2,2,5,97.43,83.60,36.63,31.86,91.81,30.42,57.90,12.33,35.68,56.71,97.29,11.44,27.44,102.03,34.49,46.39
yncD,6,41,4,2,2,2,2,2,4,4,1,3,3,3,1,2,4,2,5,3,6,2,48.58,38.32,38.92,80.73,69.90,19.21,33.13,29.58,78.25,100.55,14.64,25.22,16.74,33.23,123.54,54.55
adhP,26,48,32,70,26,22,26,29,28,26,35,25,4,5,24,10,22,13,20,7,9,14,7.39,16.86,19.85,6.30,26.47,15.80,69.78,38.71,42.82,77.31,13.41,7.68,16.80,13.35,28.29,28.68
arnB,15,13,10,13,19,14,18,12,11,12,10,11,5,5,10,15,8,9,13,10,9,10,15.24,37.41,33.60,12.11,28.81,5.88,50.32,13.66,77.67,91.72,24.74,13.36,25.39,38.76,46.64,41.54
ydcI,133,267,345,240,266,245,142,249,266,271,194,174,6,5,83,51,81,168,240,117,225,160,1.97,20.38,8.92,2.52,6.48,14.67,50.66,66.88,26.12,53.94,13.86,3.82,12.08,11.80,9.36,11.11
hsdS,19,66,20,6,10,10,14,13,19,16,9,8,4,3,6,22,7,6,11,3,11,14,37.62,51.32,23.95,14.60,30.63,32.93,27.89,67.01,78.16,44.75,48.64,12.89,16.15,49.70,24.63,46.95
menC,17,76,35,7,10,11,9,11,7,5,3,4,2,4,17,3,18,8,8,5,7,13,12.33,22.87,21.39,20.11,39.28,13.02,12.72,92.38,78.00,115.57,9.72,20.68,15.16,20.84,34.85,10.37
uxuB,20,182,81,31,48,41,40,29,33,49,55,37,3,3,11,25,9,16,89,45,47,27,11.82,6.85,10.16,5.54,4.90,10.52,13.38,25.18,12.85,27.30,13.88,17.97,19.76,2.92,14.18,14.64
amiA,76,107,90,17,57,41,80,75,64,68,43,46,44,4,47,155,40,79,81,37,72,105,10.31,11.59,10.42,9.06,26.86,31.43,68.58,22.13,9.78,56.03,18.45,4.75,22.82,11.06,15.98,13.47
dgoR,42,51,44,53,57,46,39,65,81,80,75,69,12,5,23,19,20,14,27,28,23,19,12.27,8.42,26.07,8.87,5.51,21.70,53.02,75.79,20.13,44.74,18.65,18.74,2.66,12.00,18.37,38.61
yojI,2,5,3,3,6,5,3,7,3,3,2,2,2,2,6,17,7,9,5,3,4,13,2.04,39.04,35.61,14.76,48.99,6.36,69.36,39.54,34.76,22.83,21.26,33.54,28.94,40.10,48.07,18.10
psuG,7,87,98,27,62,67,41,29,61,137,139,68,17,4,44,5,6,4,62,45,73,32,11.88,17.60,12.57,5.14,2.15,16.78,31.21,98.14,79.88,139.39,5.88,25.17,14.89,11.37,4.88,39.96
rlmA,13,21,7,5,7,5,8,6,5,4,4,4,6,4,8,6,8,5,4,3,5,4,21.70,6.24,15.70,9.92,22.30,4.38,44.06,31.50,48.11,35.23,5.34,20.61,3.50,13.34,25.05,25.86
paaY,7,13,19,13,20,16,11,10,12,16,15,22,4,6,17,18,12,14,23,31,26,16,17.08,32.29,44.03,6.31,24.68,1.53,1.57,14.54,36.13,26.11,5.85,7.23,15.19,10.54,26.37,19.63
sgcQ,1,1,0,0,0,7,0,1,0,0,0,33,12,4,4,1,0,1,2,1,1,1,156.69,32.45,136.97,22.93,94.80,25.78,66.11,27.44,99.73,73.43,169.86,61.44,41.41,66.27,29.31,69.25
ybdL,56,26,23,34,43,36,54,35,47,30,30,28,6,3,10,53,51,50,51,44,54,66,2.51,5.77,16.50,15.58,4.71,5.13,7.19,52.78,71.15,51.69,5.95,5.95,28.65,34.09,22.30,6.83
ydjY,1,1,2,3,2,1,2,4,3,1,1,1,8,4,1,5,4,2,2,1,2,3,10.10,17.32,43.03,71.32,113.47,57.96,22.38,59.70,49.32,64.93,21.60,29.53,47.70,85.38,10.59,38.40
aceK,3,5,6,47,70,40,16,9,22,30,43,61,1,1,1,6,1,5,12,26,9,3,51.14,47.65,3.99,31.38,12.32,9.89,81.93,45.15,5.96,7.90,70.04,30.09,19.91,63.33,22.14,14.33
rep,7,11,10,4,4,7,6,6,12,11,9,7,1,1,4,10,7,6,4,3,4,8,3.45,19.09,15.12,13.82,22.75,6.53,24.49,41.65,46.58,6.98,28.02,25.22,49.93,25.32,20.92,32.91
yigP,41,106,62,39,30,31,32,40,71,64,66,67,1,3,11,19,8,20,34,19,21,30,4.58,12.92,10.73,4.72,8.87,19.22,30.17,37.28,19.53,80.08,29.61,34.46,8.38,21.32,12.63,11.30
yedV,7,1,3,3,6,3,3,3,4,5,4,5,1,1,2,4,6,4,6,4,6,13,70.92,73.39,22.49,40.04,28.44,33.61,49.05,38.81,23.36,39.21,13.22,35.52,43.07,27.42,75.55,27.37
kefC,2,4,3,4,5,8,4,3,11,10,9,10,1,1,1,3,3,1,4,2,4,3,33.43,43.71,8.65,9.54,2.89,24.17,51.55,40.75,73.25,102.22,32.88,39.59,22.28,38.25,64.64,44.85
tauA,5,2,6,3,4,5,6,7,5,3,4,5,2,1,4,10,244,5,3,3,4,7,12.61,37.93,26.80,15.66,20.84,13.68,51.90,108.42,17.19,18.08,25.79,32.50,20.71,25.47,13.28,24.05
ybgK,10,15,20,6,8,17,22,18,16,18,17,9,2,1,23,29,21,19,16,18,16,18,12.74,33.73,18.03,21.36,20.70,21.47,18.24,30.40,24.78,23.81,14.96,16.77,16.97,3.50,3.87,6.64
nirD,10,29,13,5,1,3,4,5,7,3,5,3,0,3,5,12,4,9,2,5,9,2,94.97,38.83,59.98,73.69,28.82,73.00,168.95,15.46,95.16,65.39,53.60,48.51,92.84,47.24,61.30,81.02
yegD,22,48,25,7,6,14,5,3,7,3,3,2,0,1,9,2,3,7,3,3,3,7,55.51,39.44,34.87,49.31,38.62,18.79,106.92,36.64,38.97,68.99,15.41,39.67,6.37,50.63,30.01,16.29
yjbB,3,5,4,1,4,3,4,1,9,5,6,12,1,0,1,5,0,1,1,0,2,1,41.49,96.85,19.34,73.03,25.53,27.87,59.60,25.24,16.30,144.20,141.72,16.77,73.09,126.28,58.97,31.71
hybC,5,93,20,4,8,4,5,4,7,49,41,26,1,0,2,9,1,5,6,2,10,3,6.50,20.47,128.03,12.89,13.46,8.10,52.58,44.94,18.60,93.49,33.67,19.21,35.33,47.29,15.75,30.78
ylaC,145,1531,504,53,87,291,65,66,59,33,21,31,2,1,39,25,82,66,64,64,83,73,5.06,43.60,14.92,19.64,25.23,32.65,128.97,113.33,55.16,109.01,5.63,14.36,19.23,9.82,12.30,12.86
yebO,441,350,360,34,72,126,105,68,86,16,12,11,5,1,247,193,118,246,84,36,115,269,28.64,71.89,11.42,35.31,31.65,77.94,100.41,28.33,47.99,32.34,31.18,29.44,44.93,89.60,31.11,16.88
hycA,65,161,110,17,18,10,14,7,11,11,6,5,1,1,0,0,3,0,4,2,2,4,19.51,36.88,49.82,13.60,66.29,81.31,129.53,58.69,130.06,76.05,107.28,150.22,14.82,53.17,91.78,88.82
narJ,1,44,2,1,4,7,8,6,2,3,3,4,2,0,0,8,6,1,2,1,2,1,28.11,44.92,79.45,64.92,103.19,72.04,87.54,51.43,105.37,126.04,59.25,14.61,109.75,23.59,59.14,74.64
pyrE,22,18,2,2,7,3,6,7,5,2,1,1,0,0,9,9,4,4,1,2,1,1,36.70,56.14,51.39,25.29,116.54,88.00,78.75,105.76,12.32,76.00,103.49,59.64,108.33,55.30,49.00,99.89
cheW,5,19,22,1,11,49,7,2,44,163,33,1,1,0,2,4,2,3,6,4,4,5,13.21,23.10,53.70,10.26,11.93,71.44,106.39,101.25,14.51,83.67,51.14,75.62,68.23,45.38,151.47,38.19
epmB,53,89,56,16,33,26,33,23,17,9,4,3,0,0,3,16,5,26,16,15,20,24,7.91,6.04,9.62,42.81,28.18,34.36,94.06,149.11,78.41,15.25,14.92,26.25,4.54,18.34,18.16,18.45
tsr,0,1,1,0,0,1,0,0,13,31,5,0,0,0,0,0,0,0,0,0,1,1,30.17,127.84,35.32,39.57,53.51,117.34,166.95,1.00,170.04,168.81,108.16,94.39,100.31,38.60,48.67,76.75
hdeA,2099,3861,3198,34973,6378,7349,3012,1677,7992,11213,12260,14880,138311,152389,23001,5786,136643,7121,3094,14982,5373,4668,33.77,29.44,47.53,2.59,3.78,7.00,12.22,6.59,27.12,70.87,8.49,49.55,11.23,7.19,38.12,16.41
rraB,1939,1905,2440,2027,1856,1962,1617,1605,2453,1906,1606,1421,2648,2488,3057,1901,3574,2225,1499,1249,1455,2045,10.32,5.81,14.98,11.86,6.10,6.35,13.30,3.02,18.77,19.71,6.74,4.12,7.53,13.67,15.27,10.98
rpmH,14566,34664,24717,5055,8509,9281,9253,7767,9819,6853,5216,4802,4234,5731,12598,16760,13839,10309,9562,6040,10116,13964,6.65,9.28,10.08,6.38,8.42,7.68,26.12,4.64,4.06,10.33,2.40,2.01,13.87,15.09,12.63,5.69
bamE,2725,2987,2741,1570,2390,2712,2415,2422,1972,1919,1652,1576,2656,2302,4469,3887,5229,3217,2254,1656,2228,3025,3.32,24.58,5.02,8.05,5.69,7.50,24.70,10.15,2.90,7.88,9.58,4.77,5.77,15.86,10.96,10.34
yajC,5021,7451,8015,2870,4555,5459,5364,5750,3277,2991,2836,2476,2396,2184,4424,5293,4155,5070,4252,3537,4591,5367,6.39,21.84,4.99,5.98,6.52,7.02,3.28,7.78,6.89,14.28,12.32,9.96,9.01,7.34,9.97,2.77
ygdI,1446,586,1011,1243,2205,2086,1753,1809,1133,1770,2586,3963,3583,2382,2602,872,1859,648,1612,1978,1295,948,7.08,13.35,19.33,12.41,6.37,6.45,13.67,14.63,10.33,18.17,6.87,3.63,10.70,9.67,27.66,13.47
ybgS,338,646,445,301,289,338,238,190,181,233,298,324,894,1335,916,374,1155,413,311,417,274,180,20.87,20.11,29.89,12.11,10.13,8.66,15.70,16.83,28.62,120.93,64.15,125.30,16.13,6.65,29.17,31.59
gadA,25,28,22,25,16,16,12,10,11,11,12,17,336,320,19,20,161,11,11,13,14,14,13.87,7.98,28.93,14.28,5.25,7.49,2.94,8.96,16.07,49.82,19.12,40.94,11.12,6.27,7.14,41.61
yjcE,56,299,403,265,318,82,303,183,450,341,367,336,164,238,541,66,240,274,61,438,166,220,28.14,39.49,9.04,14.82,7.17,9.37,83.97,87.32,6.44,109.46,5.63,44.13,10.72,4.74,37.72,40.41
mioC,4170,3852,3999,1738,2800,2736,3315,3620,2454,1954,1511,1086,674,728,4413,2528,2778,4043,3463,4002,3216,3660,24.73,10.67,18.90,12.86,8.03,13.96,8.73,40.11,21.12,23.94,8.65,7.96,13.39,23.43,12.30,7.63
ygaM,501,531,586,893,1062,627,680,428,1246,1145,1393,1119,1226,764,1669,473,1455,461,630,1540,467,454,23.43,7.67,19.82,4.56,9.74,8.78,14.26,14.35,22.68,13.71,13.05,26.72,16.24,6.61,36.18,15.19
sra,3458,1400,1844,4310,4886,5165,5474,3608,4312,4131,3923,3455,3921,1616,11673,5862,11511,4343,5561,4451,3900,3444,10.32,13.08,14.65,16.50,10.23,3.36,6.60,6.80,48.62,11.79,5.42,6.45,10.58,4.64,12.61,26.24
ytfP,1078,1217,919,507,770,873,1161,515,634,415,500,306,474,627,673,1032,1360,857,626,660,895,1308,22.01,40.49,3.25,9.87,13.97,15.75,46.73,5.70,14.82,67.01,25.58,36.42,5.77,30.66,10.57,11.20
yaiE,1345,954,1415,556,1278,1369,1772,1349,1229,1101,984,682,1074,781,1670,799,1064,1632,1315,1005,1020,1559,6.15,17.13,9.21,4.97,9.82,4.05,18.06,25.28,18.39,38.76,5.02,8.91,5.02,3.27,9.69,14.66
bhsA,156,363,308,42,48,69,406,48,86,70,55,58,636,763,2430,3311,3327,2802,1731,1169,1453,2916,61.60,26.40,88.68,56.69,159.21,46.30,15.32,5.91,18.28,24.54,17.31,13.40,12.15,13.53,10.19,13.56
yibT,642,559,534,240,391,537,446,421,277,208,257,295,985,765,499,711,492,219,336,278,222,248,23.33,29.77,21.94,12.96,8.71,10.37,19.60,18.37,15.10,5.50,23.61,32.35,10.52,25.77,8.45,13.29
mgsA,869,2254,2254,1187,1382,1634,1559,1573,1297,1292,1045,919,559,359,586,528,700,456,651,542,901,621,4.86,55.71,2.15,19.41,8.26,11.28,34.19,5.15,13.76,30.43,32.56,30.05,20.20,24.10,10.77,24.81
gcvH,648,1085,1337,320,443,401,513,399,424,265,180,187,233,404,513,826,535,589,478,274,413,583,2.86,13.13,13.67,11.72,25.88,21.34,4.33,21.44,19.40,7.45,2.50,9.51,28.64,18.37,7.52,25.42
aidB,3,10,13,17,5,11,5,3,11,12,23,32,88,88,9,16,155,7,7,16,8,3,16.33,35.30,22.93,11.70,11.33,5.39,7.33,10.32,18.38,20.06,21.97,15.58,16.26,28.97,58.54,37.50
metI,602,349,197,228,301,345,362,475,535,443,407,497,255,221,434,413,478,544,322,144,265,460,16.00,32.51,12.15,12.91,14.53,5.83,14.22,16.74,16.19,83.49,11.99,3.17,13.68,32.31,9.01,20.11
rcnB,444,883,607,365,415,489,437,464,423,348,353,285,527,412,605,670,783,441,369,391,393,470,1.82,2.40,4.68,5.29,18.29,3.37,12.84,11.73,11.17,27.99,9.05,3.80,7.25,15.91,0.62,10.90
rof,738,902,679,434,516,818,695,622,465,400,346,258,693,510,1231,1436,1650,749,513,436,488,722,5.96,13.42,12.75,6.75,8.20,9.45,3.88,22.99,12.92,14.51,12.46,16.70,10.62,5.70,2.37,12.26
bolA,279,744,292,141,182,202,230,124,201,177,139,132,447,400,275,496,242,213,137,148,121,165,1.36,11.37,10.67,15.28,4.97,9.93,7.76,6.75,32.03,11.38,10.02,50.37,5.05,4.77,1.51,10.84
yegS,42,41,45,99,88,77,69,46,66,72,86,95,148,145,116,46,184,79,68,82,56,48,31.75,9.05,21.84,3.03,9.82,16.85,12.40,20.89,36.45,54.15,10.01,15.65,12.24,10.93,29.78,28.70
erpA,3607,3853,4824,1790,2704,2546,3460,2826,2190,1691,1178,993,391,378,2301,4232,2755,3127,2955,2139,3604,3877,4.41,2.64,9.18,9.61,5.32,4.73,19.81,8.83,9.61,10.45,10.87,15.42,3.48,8.76,9.20,4.64
yoaE,47,28,29,49,77,71,79,83,75,79,73,58,59,76,84,64,86,57,83,71,73,71,3.22,4.49,5.93,11.33,7.48,12.53,4.29,2.70,16.73,5.59,1.96,1.73,5.47,3.77,3.91,6.83
yaeR,136,109,116,141,113,154,132,94,128,135,160,128,129,275,328,91,329,206,214,316,178,268,2.26,4.73,9.57,10.59,2.44,14.13,32.62,17.07,24.07,23.05,11.86,20.68,19.64,7.73,18.49,9.68
gnsA,1269,2931,2525,506,775,1060,1005,702,812,435,535,311,464,555,1351,1429,1472,1082,1109,881,974,1146,20.47,20.83,19.30,4.14,37.75,17.64,24.71,2.99,16.03,31.42,24.56,14.17,16.42,10.78,20.21,4.95
yhbY,281,620,401,148,246,448,338,271,359,230,235,234,539,311,317,366,692,262,174,289,285,351,9.30,11.90,16.17,8.28,10.21,4.90,3.19,13.27,12.22,5.54,10.67,15.38,10.33,17.37,16.98,11.94
oppC,96,439,689,21,73,88,84,69,122,100,52,37,54,99,163,125,62,213,109,188,153,152,9.08,36.77,5.03,8.53,57.24,69.69,51.60,86.04,41.42,11.00,15.10,11.95,43.96,48.47,5.42,3.52
fldB,690,908,642,195,244,382,273,271,196,157,80,74,145,154,467,339,392,465,375,148,327,441,6.48,27.30,27.47,38.18,22.29,26.95,26.07,17.82,5.01,42.85,20.08,13.75,21.14,1.92,21.67,9.03
creA,246,443,346,139,180,182,209,200,237,236,193,243,171,170,271,452,247,216,183,213,195,244,8.34,14.30,14.81,14.47,7.35,21.42,44.11,2.24,11.49,23.23,2.00,12.53,7.77,9.51,6.90,6.69
sdhC,860,4323,2669,2051,1389,1948,1053,1981,2601,2381,1900,1669,317,191,300,532,568,985,1795,810,1964,2006,5.24,25.76,10.94,6.55,10.32,7.06,49.91,9.17,27.65,23.86,19.20,10.56,12.19,21.72,8.24,5.11
yohF,72,49,40,76,67,87,61,35,34,55,96,148,93,99,74,23,64,13,45,65,41,27,17.21,10.41,51.24,7.89,6.50,9.68,7.91,33.59,9.32,28.26,24.51,42.76,43.57,18.78,29.21,29.27
phnB,27,37,28,46,48,72,33,28,23,34,53,79,68,159,32,15,61,19,31,100,20,15,14.88,8.98,15.34,10.65,9.59,10.10,122.05,10.38,24.61,6.48,9.30,43.42,15.85,31.27,39.07,25.60
thiL,103,171,155,78,62,78,82,82,60,54,51,40,66,71,117,117,106,80,70,67,61,52,12.31,9.21,21.31,5.06,16.01,4.75,26.31,17.37,23.73,52.09,8.36,18.13,21.69,23.74,16.03,14.00
trxC,257,393,353,132,172,352,220,218,158,122,95,95,59,152,229,280,285,283,220,129,240,263,5.50,11.76,18.56,16.45,7.87,6.47,48.90,65.80,49.09,80.83,22.42,11.00,27.78,5.66,3.94,5.90
amiD,54,58,63,50,47,50,47,42,41,53,39,44,53,67,68,39,52,40,46,58,41,29,12.18,26.86,26.46,15.03,22.67,17.69,8.14,10.63,25.51,57.58,16.20,18.30,6.69,17.11,8.55,15.45
gsiC,72,30,66,46,53,64,66,65,90,77,60,50,66,61,60,116,100,100,64,52,74,82,9.04,20.31,5.70,17.88,15.42,11.08,13.07,15.34,27.34,18.55,8.20,21.57,2.04,7.75,9.03,10.77
yccF,268,540,307,83,154,263,229,123,392,332,282,313,162,126,257,341,315,295,152,145,195,341,10.79,46.44,14.76,20.84,13.79,14.30,15.61,32.71,35.18,12.47,5.21,2.48,45.41,47.55,21.80,23.87
anmK,54,61,40,59,66,78,84,71,69,64,68,68,51,51,89,74,81,78,64,54,63,72,3.39,13.44,12.35,7.10,6.44,12.72,25.44,17.85,6.90,67.65,12.84,4.30,4.50,10.83,16.17,6.49
yhfG,25,30,22,7,14,28,16,8,11,19,30,36,465,301,58,20,79,20,31,105,23,17,22.46,54.54,24.40,43.42,23.40,65.69,5.58,15.63,64.29,78.96,39.70,39.01,44.88,22.80,57.48,50.52
pnuC,60,27,65,30,27,48,35,43,61,51,61,56,94,73,50,95,63,39,46,36,31,52,14.78,22.07,12.42,14.23,18.69,3.09,3.05,19.71,79.81,9.38,10.22,24.65,6.69,43.71,17.57,1.44
